Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
Cahiers d'odonto-stomatologie	Cah Odontostomatol Touraine	Cah. Odontostomatol. Touraine.
Digest of neurology and psychiatry	Dig Neurol Psychiatr	Dig. Neurol. Psychiatr.
Changing times	Changing Times	Changing. Times.
Annals of physical and rehabilitation medicine	Ann Phys Rehabil Med	Ann. Phys. Rehabil. Med.
The Astrophysical journal. Supplement series	Astrophys J Suppl Ser	Astrophys. J. Suppl. Ser.
National safety news	Natl Saf News	Natl. Saf. News.
Psychology (Irvine, Calif.)	Psychology (Irvine)	Psychology. (Irvine).
Acta medicinae Okayama	Acta Med Okayama	Acta. Med. Okayama.
Global society : journal of interdisciplinary international relations	Glob Soc	Glob. Soc.
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne	CMAJ	CMAJ.
Estudos psiquicos	Estud Psiq	Estud. Psiq.
Cost & quality quarterly journal : CQ	Cost Qual Q J	Cost. Qual. Q. J.
Ciencia & saude coletiva	Cien Saude Colet	Cien. Saude. Colet.
The e-journal of neonatology research	EJ Neonatol Res	EJ. Neonatol. Res.
Cardiology research	Cardiol Res	Cardiol. Res.
Health economics, policy, and law	Health Econ Policy Law	Health. Econ. Policy. Law.
Studies - Hastings Center	Stud Hastings Cent	Stud. Hastings. Cent.
Anaesthesia, critical care & pain medicine	Anaesth Crit Care Pain Med	Anaesth. Crit. Care. Pain. Med.
Islenha	Rev Islenha	Rev. Islenha.
Family and consumer sciences research journal	Fam Consum Sci Res J	Fam. Consum. Sci. Res. J.
Surgery research and practice	Surg Res Pract	Surg. Res. Pract.
Medical Research Council memorandum	Memo Med Res Counc	Memo. Med. Res. Counc.
Combustion science and technology : CST	Combust Sci Technol	Combust. Sci. Technol.
Heart failure reviews	Heart Fail Rev	Heart. Fail. Rev.
Annals of ophthalmology	Ann Ophthalmol	Ann. Ophthalmol.
Ophtalmologie : organe de la Societe francaise d'ophtalmologie	Ophtalmologie	Ophtalmologie.
Victorian periodicals review	Vic Period Rev	Vic. Period. Rev.
St. Barnabas Hospital medical bulletin	St Barnabas Hosp Med Bull	St. Barnabas. Hosp. Med. Bull.
Revista de odontologia da UNESP	Rev Odontol UNESP	Rev. Odontol. UNESP.
Journal of digestive cancer reports	J Dig Cancer Rep	J. Dig. Cancer. Rep.
Somatic cell genetics	Somatic Cell Genet	Somatic. Cell. Genet.
Berichte Aus Der Bonner Universitatsklinik Und Poliklinik Fur Mund-, Zahn- Und Kieferkrankheiten	Ber Bonn Univ Poliklin Mund Zahn Kieferkr	Ber. Bonn. Univ. Poliklin. Mund. Zahn. Kieferkr.
Preventing chronic disease	Prev Chronic Dis	Prev. Chronic. Dis.
Public finance = Finances publiques	Public Financ	Public. Financ.
